Cell_ID,Receiving_Reach_ID,Receiving_Reach_Location_[0=up;1=dn],Drainage_Area_[ha],Average_Elevation_[m],Average_Aspect_[deg],Land_Slope_[m/m],Sheet_Flow_Slope_[m/m],Sheet_Flow_Length_[m],Shallow_Concentrated_Flow_Slope_[m/m],Shallow_Concentrated_Flow_Length_[m],Concentrated_Flow_Slope_[m/m],Concentrated_Flow_Length_[m],LS_Factor,Aspect_Correlation,Orphan_Raster_Code_[T/F]
6142,614,1,7.7400,192.36,113.11,0.04554,0.00751,50.00,0.02151,50.00,0.03039,236.42,0.640,0.8264,F
6143,614,1,8.3100,193.30,261.33,0.03610,0.01014,50.00,0.01083,50.00,0.01867,561.98,0.514,0.7271,F
6152,615,1,16.7700,195.64,119.56,0.03221,0.00600,50.00,0.00401,50.00,0.02088,409.91,0.457,0.7353,F
6153,615,1,7.7500,194.74,266.77,0.03776,0.01214,50.00,0.01356,50.00,0.02232,343.35,0.512,0.7737,F
6161,616,0,10.0900,201.51,239.72,0.02170,0.00800,50.00,0.00386,50.00,0.01330,610.27,0.305,0.5646,F
6162,616,1,10.4600,198.35,123.88,0.02218,0.00318,50.00,0.00518,50.00,0.00659,468.14,0.305,0.5772,F
6163,616,1,5.8400,198.37,225.78,0.02766,0.01521,50.00,0.02707,50.00,0.01789,289.91,0.370,0.8390,F
6172,617,1,35.3600,200.85,168.40,0.03466,0.01600,50.00,0.02200,50.00,0.01719,683.70,0.478,0.7436,F
6173,617,1,40.3800,201.58,326.57,0.03770,0.01103,50.00,0.01004,50.00,0.01366,662.05,0.528,0.6055,F
6181,618,0,12.2600,208.29,245.56,0.03681,0.01717,50.00,0.01117,50.00,0.01268,445.06,0.507,0.2168,F
6182,618,1,10.8300,204.48,205.47,0.03116,0.03043,50.00,0.04038,50.00,0.02347,377.84,0.431,0.8652,F
6183,618,1,2.1100,202.75,311.48,0.03647,0.02507,50.00,0.05299,50.00,0.03000,1.57,0.489,0.9022,F
6191,619,0,10.6600,204.47,306.28,0.02675,0.01200,50.00,0.01317,50.00,0.01453,488.14,0.354,0.2970,F
6192,619,1,18.8000,203.56,239.32,0.02282,0.01200,50.00,0.01366,50.00,0.01930,461.98,0.315,0.8616,F
6193,619,1,6.6000,201.96,23.23,0.03141,0.01654,50.00,0.02903,50.00,0.01950,196.42,0.413,0.8398,F
6201,620,0,10.3900,203.08,230.09,0.01910,0.00941,50.00,0.01659,50.00,0.01274,686.54,0.270,0.6168,F
6202,620,1,6.0000,196.51,186.61,0.02948,0.00542,50.00,0.01161,50.00,0.01612,213.99,0.404,0.7850,F
6203,620,1,8.9100,197.80,262.85,0.02528,0.00966,50.00,0.01214,50.00,0.01360,596.84,0.351,0.6720,F
6212,621,1,62.8800,199.73,177.55,0.03990,0.01341,50.00,0.02052,50.00,0.02524,501.27,0.561,0.6789,F
6213,621,1,49.4500,200.44,316.87,0.04893,0.01254,50.00,0.02164,50.00,0.01484,946.19,0.738,0.6004,F
6222,622,1,0.2100,203.73,108.65,0.01001,0.00400,50.00,0.00001,5.00,0.00001,0.00,0.059,0.2677,F
6223,622,1,0.2200,204.16,258.14,0.01834,0.01254,50.00,0.00886,19.50,0.00001,0.00,0.259,0.7791,F
6231,623,0,10.0500,214.43,268.81,0.02946,0.01151,50.00,0.00449,50.00,0.01297,493.35,0.402,0.4852,F
6232,623,1,4.3200,209.62,169.82,0.02483,0.03199,50.00,0.00001,50.00,0.00001,97.43,0.285,0.4828,F
6233,623,1,15.4900,211.16,257.93,0.03013,0.01454,50.00,0.02208,50.00,0.01312,409.20,0.419,0.7175,F
6241,624,0,10.2200,215.17,183.47,0.02296,0.01317,50.00,0.02400,50.00,0.01009,435.42,0.311,0.3829,F
6242,624,1,5.0100,209.11,180.26,0.03828,0.01721,50.00,0.01947,50.00,0.03580,156.42,0.512,0.7016,F
6243,624,1,4.8300,210.51,285.54,0.04158,0.01751,50.00,0.02800,50.00,0.03290,148.14,0.572,0.8315,F
6252,625,1,23.0700,208.82,215.64,0.02981,0.01945,50.00,0.01923,50.00,0.01472,772.05,0.403,0.6568,F
6253,625,1,13.1500,206.17,43.74,0.02166,0.00400,50.00,0.00201,50.00,0.00464,712.70,0.285,0.3817,F
6261,626,0,10.0300,210.52,173.42,0.02877,0.01434,50.00,0.01683,50.00,0.01435,727.84,0.389,0.4499,F
6262,626,1,3.3200,207.32,179.83,0.03559,0.03786,50.00,0.04986,50.00,0.03695,189.85,0.497,0.8151,F
6263,626,1,14.2000,207.25,284.09,0.02128,0.01297,50.00,0.02760,50.00,0.00944,526.84,0.294,0.4418,F
6271,627,0,10.1100,207.48,295.70,0.00680,0.00200,50.00,0.00600,50.00,0.00193,715.77,0.112,0.3699,F
6272,627,1,13.7800,207.18,284.26,0.01781,0.01703,50.00,0.02200,50.00,0.00616,479.20,0.246,0.4462,F
6273,627,1,10.3600,206.46,35.72,0.01267,0.00200,50.00,0.00001,50.00,0.00524,534.77,0.184,0.4166,F
6282,628,1,5.6700,189.31,212.73,0.03573,0.00766,50.00,0.00483,50.00,0.02884,170.56,0.496,0.7880,F
6283,628,1,21.2900,193.79,26.76,0.02981,0.01118,50.00,0.01004,50.00,0.01904,590.27,0.424,0.8079,F
6292,629,1,11.5500,192.85,169.98,0.02345,0.00717,50.00,0.01097,50.00,0.01447,458.20,0.334,0.7917,F
6293,629,1,8.5300,192.12,294.41,0.02422,0.01000,50.00,0.00201,50.00,0.01131,489.91,0.333,0.5353,F
6302,630,1,1.9300,192.14,160.03,0.02500,0.00634,50.00,0.01317,50.00,0.02456,115.71,0.339,0.8315,F
6303,630,1,0.6700,191.30,305.46,0.04118,0.03737,50.00,0.03031,27.43,0.00001,0.00,0.489,0.9033,F
6311,631,0,11.7400,197.59,228.21,0.01592,0.01048,50.00,0.00752,50.00,0.00946,735.48,0.233,0.5890,F
6312,631,1,3.2800,194.39,153.01,0.02667,0.01834,50.00,0.02000,50.00,0.02232,156.07,0.374,0.8168,F
6313,631,1,2.7500,194.65,255.01,0.02224,0.00766,50.00,0.01014,50.00,0.01352,263.35,0.311,0.7705,F
6322,632,1,0.9400,192.41,182.16,0.03797,0.01909,50.00,0.05000,37.43,0.00001,0.00,0.485,0.8029,F
6323,632,1,1.3700,193.19,325.03,0.03716,0.01400,50.00,0.03606,50.00,0.02906,27.43,0.526,0.8994,F
6331,633,0,10.0400,206.38,231.33,0.01795,0.01000,50.00,0.00201,50.00,0.00903,359.85,0.245,0.3472,F
6332,633,1,17.5300,199.88,186.62,0.02864,0.00834,50.00,0.01000,50.00,0.01398,295.71,0.400,0.7471,F
6333,633,1,36.5700,202.48,296.21,0.02334,0.01400,50.00,0.02224,50.00,0.01696,539.20,0.329,0.6800,F
6341,634,0,10.0300,202.53,245.56,0.01715,0.00434,50.00,0.01035,50.00,0.01155,468.85,0.248,0.6104,F
6342,634,1,3.2900,196.30,206.14,0.02748,0.01473,50.00,0.03077,50.00,0.03149,19.85,0.373,0.7864,F
6343,634,1,6.6300,197.81,306.50,0.02300,0.00942,50.00,0.01293,50.00,0.01545,370.21,0.327,0.7844,F
6351,635,0,10.0200,197.15,261.22,0.01356,0.00517,50.00,0.01331,50.00,0.01091,738.20,0.196,0.7652,F
6352,635,1,4.1500,193.77,241.71,0.01893,0.00907,50.00,0.01279,50.00,0.01918,209.85,0.268,0.8020,F
6353,635,1,1.2400,192.71,358.71,0.03053,0.01321,50.00,0.03570,50.00,0.04243,3.64,0.437,0.9142,F
6362,636,1,0.3100,188.88,256.90,0.03699,0.04000,50.00,0.02873,19.14,0.00001,0.00,0.490,0.7243,F
6363,636,1,0.2500,189.45,30.59,0.05369,0.05157,50.00,0.04386,17.43,0.00001,0.00,0.680,0.9746,F
6371,637,0,18.0900,194.76,248.82,0.01292,0.01083,50.00,0.00752,50.00,0.01047,683.76,0.189,0.5420,F
6372,637,1,5.9000,192.49,214.75,0.02681,0.00434,50.00,0.00873,50.00,0.00905,242.63,0.360,0.6447,F
6373,637,1,16.3800,192.96,12.08,0.01746,0.01234,50.00,0.00566,50.00,0.00709,438.85,0.252,0.4823,F
6381,638,0,11.7900,195.90,84.09,0.01066,0.00917,50.00,0.00917,50.00,0.00554,737.84,0.160,0.4922,F
6382,638,1,6.6700,193.22,319.83,0.01929,0.01200,50.00,0.00318,50.00,0.00989,292.28,0.272,0.5489,F
6383,638,1,11.3100,195.27,93.53,0.02052,0.00342,50.00,0.00259,50.00,0.00963,620.62,0.293,0.7261,F
6392,639,1,1.1100,179.74,231.95,0.02294,0.00449,50.00,0.02673,50.00,0.01514,25.71,0.310,0.6728,F
6393,639,1,0.7100,180.05,25.97,0.04521,0.03172,50.00,0.04651,15.36,0.00001,0.00,0.558,0.6825,F
6401,640,0,11.3400,183.32,244.02,0.00732,0.00752,50.00,0.01014,50.00,0.00329,521.98,0.121,0.5402,F
6402,640,1,19.6000,181.34,227.01,0.00810,0.01000,50.00,0.00518,50.00,0.00270,1053.41,0.130,0.4957,F
6403,640,1,4.6700,181.23,318.53,0.00668,0.00200,50.00,0.00332,50.00,0.00367,50.21,0.117,0.6810,F
6411,641,0,10.0200,187.67,259.09,0.04880,0.01566,50.00,0.02970,50.00,0.02277,581.27,0.731,0.4701,F
6412,641,1,35.0600,181.72,213.12,0.00605,0.00542,50.00,0.00766,50.00,0.00263,702.70,0.105,0.6382,F
6413,641,1,35.9600,181.66,319.00,0.01419,0.00400,50.00,0.00600,50.00,0.00119,678.49,0.203,0.3148,F
6421,642,0,10.4300,179.77,138.25,0.00634,0.00200,50.00,0.00049,50.00,0.00074,510.62,0.103,0.2483,F
6422,642,1,14.3100,177.87,130.86,0.01022,0.00600,50.00,0.00001,50.00,0.00316,285.06,0.153,0.3667,F
6423,642,1,18.2300,178.51,226.27,0.02478,0.00600,50.00,0.00683,50.00,0.02077,218.49,0.363,0.5025,F
6432,643,1,16.1400,172.65,153.21,0.00808,0.00766,50.00,0.01234,50.00,0.00036,1144.59,0.120,0.4810,F
6433,643,1,16.1100,172.73,220.31,0.01456,0.02000,50.00,0.00200,50.00,0.00020,513.41,0.190,0.5236,F
